Data,Cidade,Novos,Total
2020-03-24,Morungaba,0,0
2020-03-24,Nova Odessa,0,0
2020-03-24,Paulínia,0,1
2020-03-24,Pedreira,0,0
2020-03-24,Santa Bárbara D'oeste,0,0
2020-03-24,Santo Antônio De Posse,0,0
2020-03-24,Sumaré,0,0
2020-03-24,Valinhos,0,3
2020-03-24,Vinhedo,0,0
2020-03-25,Americana,0,0
2020-03-25,Artur Nogueira,0,0
2020-03-25,Campinas,0,10
2020-03-25,Cosmópolis,0,0
2020-03-25,Engenheiro Coelho,0,0
2020-03-25,Holambra,0,1
2020-03-25,Hortolândia,1,2
2020-03-25,Indaiatuba,0,0
2020-03-25,Itatiba,0,0
2020-03-25,Jaguariúna,0,1
2020-03-25,Monte Mor,0,0
2020-03-25,Morungaba,0,0
2020-03-25,Nova Odessa,0,0
2020-03-25,Paulínia,0,1
2020-03-25,Pedreira,0,0
2020-03-25,Santa Bárbara D'oeste,0,0
2020-03-25,Santo Antônio De Posse,0,0
2020-03-25,Sumaré,0,0
2020-03-25,Valinhos,0,3
2020-03-25,Vinhedo,0,0
2020-03-26,Americana,0,0
2020-03-26,Artur Nogueira,0,0
2020-03-26,Campinas,6,16
2020-03-26,Cosmópolis,0,0
2020-03-26,Engenheiro Coelho,0,0
2020-03-26,Holambra,0,1
2020-03-26,Hortolândia,0,2
2020-03-26,Indaiatuba,0,0
2020-03-26,Itatiba,0,0
2020-03-26,Jaguariúna,0,1
2020-03-26,Monte Mor,0,0
2020-03-26,Morungaba,0,0
2020-03-26,Nova Odessa,0,0
2020-03-26,Paulínia,1,2
2020-03-26,Pedreira,0,0
2020-03-26,Santa Bárbara D'oeste,0,0
2020-03-26,Santo Antônio De Posse,0,0
2020-03-26,Sumaré,0,0
2020-03-26,Valinhos,0,3
2020-03-26,Vinhedo,0,0
2020-03-27,Americana,0,0
2020-03-27,Artur Nogueira,0,0
2020-03-27,Campinas,3,19
2020-03-27,Cosmópolis,0,0
2020-03-27,Engenheiro Coelho,0,0
2020-03-27,Holambra,0,1
2020-03-27,Hortolândia,0,2
2020-03-27,Indaiatuba,0,0
2020-03-27,Itatiba,0,0
2020-03-27,Jaguariúna,0,1
2020-03-27,Monte Mor,0,0
2020-03-27,Morungaba,0,0
2020-03-27,Nova Odessa,0,0
2020-03-27,Paulínia,0,2
2020-03-27,Pedreira,0,0
2020-03-27,Santa Bárbara D'oeste,0,0
2020-03-27,Santo Antônio De Posse,0,0
2020-03-27,Sumaré,0,0
2020-03-27,Valinhos,0,3
2020-03-27,Vinhedo,0,0
2020-03-28,Americana,0,0
2020-03-28,Artur Nogueira,0,0
2020-03-28,Campinas,0,19
2020-03-28,Cosmópolis,0,0
2020-03-28,Engenheiro Coelho,0,0
2020-03-28,Holambra,0,1
2020-03-28,Hortolândia,0,2
2020-03-28,Indaiatuba,0,0
2020-03-28,Itatiba,0,0
2020-03-28,Jaguariúna,0,1
2020-03-28,Monte Mor,0,0
2020-03-28,Morungaba,0,0
2020-03-28,Nova Odessa,0,0
2020-03-28,Paulínia,0,2
2020-03-28,Pedreira,0,0
2020-03-28,Santa Bárbara D'oeste,0,0
2020-03-28,Santo Antônio De Posse,0,0
2020-03-28,Sumaré,0,0
2020-03-28,Valinhos,0,3
2020-03-28,Vinhedo,0,0
2020-03-29,Americana,0,0
2020-03-29,Artur Nogueira,0,0
2020-03-29,Campinas,0,19
2020-03-29,Cosmópolis,0,0
2020-03-29,Engenheiro Coelho,0,0
2020-03-29,Holambra,0,1
2020-03-29,Hortolândia,-1,1
2020-03-29,Indaiatuba,0,0
2020-03-29,Itatiba,0,0
2020-03-29,Jaguariúna,0,1
2020-03-29,Monte Mor,0,0
2020-03-29,Morungaba,0,0
2020-03-29,Nova Odessa,0,0
2020-03-29,Paulínia,0,2
2020-03-29,Pedreira,0,0
2020-03-29,Santa Bárbara D'oeste,0,0
2020-03-29,Santo Antônio De Posse,0,0
2020-03-29,Sumaré,0,0
2020-03-29,Valinhos,0,3
2020-03-29,Vinhedo,0,0
2020-03-30,Americana,0,0
2020-03-30,Artur Nogueira,0,0
2020-03-30,Campinas,14,33
2020-03-30,Cosmópolis,0,0
2020-03-30,Engenheiro Coelho,0,0
2020-03-30,Holambra,0,1
2020-03-30,Hortolândia,0,1
2020-03-30,Indaiatuba,1,1
2020-03-30,Itatiba,0,0
2020-03-30,Jaguariúna,0,1
2020-03-30,Monte Mor,0,0
2020-03-30,Morungaba,0,0
2020-03-30,Nova Odessa,0,0
2020-03-30,Paulínia,1,3
2020-03-30,Pedreira,0,0
2020-03-30,Santa Bárbara D'oeste,0,0
2020-03-30,Santo Antônio De Posse,0,0
2020-03-30,Sumaré,0,0
2020-03-30,Valinhos,0,3
2020-03-30,Vinhedo,0,0
2020-03-31,Americana,2,2
2020-03-31,Artur Nogueira,0,0
2020-03-31,Campinas,3,36
2020-03-31,Cosmópolis,0,0
2020-03-31,Engenheiro Coelho,0,0
2020-03-31,Holambra,0,1
2020-03-31,Hortolândia,0,1
2020-03-31,Indaiatuba,1,2
2020-03-31,Itatiba,0,0
2020-03-31,Jaguariúna,0,1
2020-03-31,Monte Mor,0,0
2020-03-31,Morungaba,0,0
2020-03-31,Nova Odessa,0,0
2020-03-31,Paulínia,0,3
2020-03-31,Pedreira,0,0
2020-03-31,Santa Bárbara D'oeste,0,0
2020-03-31,Santo Antônio De Posse,0,0
2020-03-31,Sumaré,1,1
2020-03-31,Valinhos,0,3
2020-03-31,Vinhedo,0,0
2020-04-01,Americana,0,2
2020-04-01,Artur Nogueira,0,0
2020-04-01,Campinas,3,39
2020-04-01,Cosmópolis,0,0
2020-04-01,Engenheiro Coelho,0,0
2020-04-01,Holambra,0,1
2020-04-01,Hortolândia,0,1
2020-04-01,Indaiatuba,0,2
2020-04-01,Itatiba,0,0
2020-04-01,Jaguariúna,0,1
2020-04-01,Monte Mor,0,0
2020-04-01,Morungaba,0,0
2020-04-01,Nova Odessa,0,0
2020-04-01,Paulínia,0,3
2020-04-01,Pedreira,0,0
2020-04-01,Santa Bárbara D'oeste,0,0
2020-04-01,Santo Antônio De Posse,0,0
2020-04-01,Sumaré,0,1
2020-04-01,Valinhos,0,3
2020-04-01,Vinhedo,2,2
